airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-995,Delhi,Morning,one,Evening,Kolkata,Business,6.5,19,65529
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,21,6296
Vistara,UK-854,Bangalore,Evening,one,Morning,Delhi,Business,15.25,14,57081
Vistara,UK-802,Bangalore,Evening,one,Morning,Mumbai,Business,14.92,36,69244
Vistara,UK-866,Bangalore,Night,one,Morning,Chennai,Economy,14.17,39,4792
Indigo,6E-6087,Kolkata,Evening,one,Late_Night,Delhi,Economy,6.83,13,6977
Air_India,AI-660,Mumbai,Evening,one,Night,Hyderabad,Business,5.58,12,45693
SpiceJet,SG-191,Delhi,Early_Morning,one,Early_Morning,Chennai,Economy,26.33,31,5550
GO_FIRST,G8-102,Kolkata,Afternoon,one,Night,Mumbai,Economy,7.58,29,5888
Vistara,UK-950,Mumbai,Night,one,Evening,Hyderabad,Economy,21.92,46,4414
GO_FIRST,G8-517,Hyderabad,Night,zero,Night,Bangalore,Economy,1.25,21,1776
Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,14.08,12,74956
Vistara,UK-820,Bangalore,Evening,one,Evening,Hyderabad,Business,26.08,15,56588
Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Economy,16.33,38,5857
Air_India,AI-559,Hyderabad,Early_Morning,two_or_more,Night,Kolkata,Economy,15.83,14,12118
Indigo,6E-2081,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.42,31,2410
Vistara,UK-851,Mumbai,Early_Morning,two_or_more,Evening,Chennai,Economy,9.33,32,8130
Air_India,AI-507,Bangalore,Early_Morning,one,Night,Delhi,Business,17.42,26,39847
Air_India,AI-806,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.25,40,2464
Indigo,6E-6202,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17,37,3001
Vistara,UK-818,Bangalore,Evening,one,Night,Mumbai,Business,27.17,3,78988
Vistara,UK-858,Bangalore,Early_Morning,one,Night,Delhi,Economy,15.25,24,4111
Air_India,AI-687,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.25,6,5943
Air_India,AI-774,Mumbai,Night,zero,Night,Kolkata,Economy,2.75,22,4633
Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Business,10.17,25,79099
Indigo,6E-2331,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,6.58,3,11258
Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Business,15.75,20,41113
Vistara,UK-819,Delhi,Afternoon,zero,Evening,Bangalore,Economy,2.75,30,4501
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,Economy,13.08,8,14620
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,7.42,9,54841
Vistara,UK-738,Kolkata,Evening,one,Morning,Hyderabad,Economy,14.92,2,14154
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Business,13.33,7,97905
GO_FIRST,G8-451,Chennai,Night,one,Early_Morning,Kolkata,Economy,8.42,26,10738
Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,Economy,14.25,21,7572
Air_India,AI-402,Kolkata,Morning,one,Night,Chennai,Business,13.17,38,55983
Air_India,AI-639,Mumbai,Morning,zero,Morning,Bangalore,Economy,1.67,1,5103
Indigo,6E-6172,Kolkata,Night,one,Morning,Bangalore,Economy,11.25,42,3465
Indigo,6E-6965,Kolkata,Afternoon,zero,Evening,Mumbai,Economy,3.0,43,4499
Vistara,UK-823,Mumbai,Evening,two_or_more,Morning,Bangalore,Economy,17.0,2,22731
Indigo,6E-772,Delhi,Early_Morning,one,Afternoon,Chennai,Economy,8.58,20,4316
Vistara,UK-838,Chennai,Night,one,Night,Mumbai,Economy,24.5,13,15447
Vistara,UK-874,Hyderabad,Morning,one,Evening,Delhi,Economy,9.58,25,5892
Indigo,6E-409,Bangalore,Afternoon,one,Evening,Kolkata,Economy,4.5,33,4477
Air_India,AI-542,Delhi,Morning,zero,Morning,Hyderabad,Business,2.17,7,23944
Air_India,AI-9891,Hyderabad,Evening,one,Morning,Bangalore,Economy,17.5,28,5126
Air_India,AI-803,Delhi,Early_Morning,zero,Morning,Bangalore,Business,2.75,6,32859
AirAsia,I5-942,Mumbai,Afternoon,one,Night,Kolkata,Economy,8.0,8,7411
Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Business,7.58,18,59033
Air_India,AI-429,Delhi,Morning,one,Morning,Kolkata,Business,25.0,9,59641
Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Kolkata,Economy,11.92,36,9433
Vistara,UK-994,Mumbai,Morning,one,Evening,Hyderabad,Business,9.5,15,58125
AirAsia,I5-547,Kolkata,Evening,zero,Night,Delhi,Economy,2.67,20,3999
GO_FIRST,G8-118,Bangalore,Night,one,Morning,Hyderabad,Economy,11.58,15,4337
AirAsia,I5-1426,Bangalore,Afternoon,zero,Afternoon,Hyderabad,Economy,1.17,2,5335
GO_FIRST,G8-7535,Delhi,Evening,one,Early_Morning,Chennai,Economy,14.67,11,7426
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Delhi,Economy,14.5,40,4294
Vistara,UK-854,Bangalore,Evening,one,Evening,Chennai,Economy,25.5,39,4672
Air_India,AI-698,Hyderabad,Night,one,Afternoon,Delhi,Business,14.0,2,44640
Vistara,UK-825,Mumbai,Morning,zero,Morning,Chennai,Economy,2.08,24,6678
Indigo,6E-2478,Delhi,Night,one,Early_Morning,Chennai,Economy,6.5,28,2931
Indigo,6E-945,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.5,49,3980
Air_India,AI-473,Delhi,Evening,one,Afternoon,Bangalore,Business,19.67,29,39783
Indigo,6E-6257,Bangalore,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.17,49,1714
Vistara,UK-657,Bangalore,Morning,one,Night,Mumbai,Economy,10.08,37,7315
Air_India,AI-9505,Bangalore,Morning,one,Night,Delhi,Economy,14.58,44,5568
Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,24,6601
Vistara,UK-955,Delhi,Evening,one,Night,Chennai,Business,5.33,29,60232
Vistara,UK-996,Mumbai,Evening,one,Afternoon,Hyderabad,Economy,18.08,6,10593
Air_India,AI-631,Mumbai,Evening,two_or_more,Night,Hyderabad,Economy,28.25,42,5857
Indigo,6E-2005,Delhi,Morning,zero,Morning,Hyderabad,Economy,2.25,7,5955
Indigo,6E-6491,Bangalore,Afternoon,one,Night,Kolkata,Economy,9.58,4,10638
Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,18.92,32,62045
Indigo,6E-2338,Delhi,Afternoon,one,Evening,Hyderabad,Economy,6.92,8,9735
Indigo,6E-847,Chennai,Evening,one,Night,Kolkata,Economy,7.25,25,4541
Air_India,AI-808,Bangalore,Night,one,Morning,Hyderabad,Business,13.5,3,57596
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Kolkata,Business,17.58,48,49725
Vistara,UK-871,Delhi,Night,one,Morning,Bangalore,Economy,12.25,43,3357
Indigo,6E-6017,Bangalore,Evening,one,Night,Hyderabad,Economy,4.08,31,1694
Vistara,UK-834,Chennai,Evening,one,Morning,Bangalore,Business,15.5,26,60260
Air_India,AI-505,Bangalore,Morning,one,Evening,Kolkata,Business,8.75,21,60508
Vistara,UK-705,Delhi,Early_Morning,zero,Morning,Kolkata,Economy,2.08,47,4000
Air_India,AI-601,Mumbai,Early_Morning,two_or_more,Night,Bangalore,Economy,18.92,48,9271
Vistara,UK-951,Delhi,Afternoon,one,Night,Hyderabad,Economy,6.58,43,5772
GO_FIRST,G8-404,Delhi,Morning,one,Evening,Bangalore,Economy,4.58,47,6315
Vistara,UK-822,Chennai,Morning,one,Evening,Kolkata,Economy,33.83,10,21317
Vistara,UK-706,Kolkata,Morning,one,Night,Chennai,Business,10.0,4,55983
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,41,2700
Air_India,AI-809,Mumbai,Morning,one,Night,Bangalore,Business,10.08,41,54608
Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,13.92,42,45805
Vistara,UK-778,Kolkata,Afternoon,one,Night,Mumbai,Business,30.25,38,59254
Indigo,6E-588,Chennai,Evening,one,Night,Hyderabad,Economy,4.42,6,4969
Vistara,UK-894,Hyderabad,Evening,one,Morning,Mumbai,Economy,16.92,12,9178
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Chennai,Business,13.75,11,57453
Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,Business,20.58,28,61873
Vistara,UK-944,Mumbai,Afternoon,one,Morning,Bangalore,Economy,18.0,23,6450
Air_India,AI-503,Bangalore,Evening,one,Evening,Mumbai,Business,24.17,7,54684
Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Economy,10.17,28,7709
Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,Business,16.0,6,49553
Air_India,AI-808,Bangalore,Night,one,Morning,Hyderabad,Economy,13.5,23,6200
Vistara,UK-910,Mumbai,Evening,one,Night,Kolkata,Business,5.17,33,75597
Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Business,6.08,34,49177
Indigo,6E-179,Mumbai,Morning,one,Afternoon,Bangalore,Economy,4.5,8,15761
Indigo,6E-945,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.25,48,2738
Vistara,UK-708,Kolkata,Night,one,Morning,Bangalore,Business,14.42,44,71058
Vistara,UK-860,Hyderabad,Early_Morning,zero,Morning,Delhi,Business,2.17,18,24234
Vistara,UK-960,Mumbai,Morning,one,Evening,Kolkata,Economy,6.17,24,6159
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Hyderabad,Business,16.42,9,53645
Indigo,6E-354,Mumbai,Afternoon,one,Evening,Bangalore,Economy,5.75,25,4056
Indigo,6E-6109,Mumbai,Morning,zero,Morning,Bangalore,Economy,1.67,40,2124
Air_India,AI-9518,Hyderabad,Night,one,Night,Delhi,Economy,27.17,4,11488
Air_India,AI-675,Mumbai,Early_Morning,zero,Morning,Kolkata,Economy,2.67,47,2835
Vistara,UK-834,Chennai,Evening,one,Night,Mumbai,Economy,5.67,30,4830
AirAsia,I5-2473,Kolkata,Morning,one,Late_Night,Delhi,Economy,15.67,40,3014
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,17.0,23,4646
Indigo,6E-484,Bangalore,Early_Morning,one,Evening,Delhi,Economy,11.0,2,14838
Air_India,AI-503,Bangalore,Evening,one,Night,Mumbai,Economy,28.33,1,9277
Air_India,AI-669,Mumbai,Morning,one,Evening,Delhi,Business,28.25,30,39847
Indigo,6E-605,Chennai,Afternoon,one,Night,Hyderabad,Economy,8.42,38,2651
Vistara,UK-986,Mumbai,Night,one,Evening,Hyderabad,Business,18.25,15,45805
Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,Economy,11.75,32,5106
Vistara,UK-852,Mumbai,Afternoon,two_or_more,Night,Chennai,Economy,8.08,24,8740
Vistara,UK-858,Bangalore,Early_Morning,one,Evening,Kolkata,Business,13.25,27,51817
Air_India,AI-732,Kolkata,Afternoon,one,Evening,Mumbai,Business,4.83,42,31982
Vistara,UK-721,Delhi,Afternoon,one,Evening,Bangalore,Economy,28.17,20,11835
AirAsia,I5-552,Kolkata,Early_Morning,one,Night,Bangalore,Economy,14.08,23,3862
Vistara,UK-890,Hyderabad,Evening,one,Morning,Bangalore,Economy,17.17,49,6461
Vistara,UK-854,Bangalore,Evening,one,Morning,Delhi,Business,15.25,36,65033
Vistara,UK-705,Delhi,Early_Morning,two_or_more,Evening,Chennai,Economy,12.42,8,20145
Vistara,UK-996,Mumbai,Evening,one,Morning,Chennai,Business,15.42,12,64173
GO_FIRST,G8-287,Mumbai,Morning,one,Night,Delhi,Economy,9.67,19,5942
Air_India,AI-652,Mumbai,Evening,one,Evening,Delhi,Economy,24.75,43,6300
Air_India,AI-804,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.42,13,13894
Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Business,13.17,23,54684
Indigo,6E-2248,Hyderabad,Afternoon,one,Night,Kolkata,Economy,7.0,38,6251
Vistara,UK-845,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.92,29,3334
Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,18.25,28,4672
Vistara,UK-836,Chennai,Morning,two_or_more,Evening,Bangalore,Economy,8.5,38,7167
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Business,5.75,5,53164
Vistara,UK-870,Hyderabad,Night,one,Evening,Mumbai,Business,21.08,12,58315
AirAsia,I5-1569,Mumbai,Night,one,Late_Night,Delhi,Economy,6.25,46,2336
GO_FIRST,G8-320,Bangalore,Evening,one,Late_Night,Delhi,Economy,6.0,11,7487
SpiceJet,SG-8803,Delhi,Early_Morning,one,Early_Morning,Chennai,Economy,24.67,33,4942
Indigo,6E-528,Bangalore,Evening,one,Late_Night,Delhi,Economy,8.83,33,4391
Air_India,AI-867,Mumbai,Night,one,Night,Kolkata,Economy,22.58,4,12637
Vistara,UK-854,Bangalore,Evening,one,Morning,Kolkata,Economy,15.25,17,6534
Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Delhi,Economy,6.0,46,5892
Air_India,AI-669,Mumbai,Morning,one,Late_Night,Bangalore,Economy,36.17,9,16446
Air_India,AI-543,Hyderabad,Morning,one,Evening,Mumbai,Business,8.67,26,45883
GO_FIRST,G8-331,Mumbai,Morning,one,Night,Hyderabad,Economy,11.83,15,10039
Indigo,6E-6567,Chennai,Afternoon,zero,Evening,Delhi,Economy,2.75,21,3191
GO_FIRST,G8-813,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,13.83,46,11007
Vistara,UK-945,Delhi,Morning,one,Evening,Bangalore,Business,7.58,24,49177
Indigo,6E-179,Mumbai,Morning,one,Evening,Hyderabad,Economy,7.58,17,16076
SpiceJet,SG-635,Bangalore,Evening,one,Afternoon,Delhi,Economy,17.58,46,4029
Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Business,9.58,17,57505
Indigo,6E-982,Hyderabad,Morning,one,Afternoon,Delhi,Economy,5.42,16,6133
Vistara,UK-828,Chennai,Early_Morning,one,Early_Morning,Hyderabad,Business,24.83,38,41064
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Economy,14.75,49,8233
Vistara,UK-874,Hyderabad,Morning,one,Afternoon,Delhi,Business,5.58,42,51875
Air_India,AI-526,Kolkata,Evening,one,Early_Morning,Chennai,Economy,12.33,36,5681
Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.5,33,3450
Vistara,UK-720,Kolkata,Early_Morning,one,Afternoon,Mumbai,Business,6.83,27,56991
Air_India,AI-649,Mumbai,Early_Morning,one,Early_Morning,Delhi,Economy,24.67,23,6922
GO_FIRST,G8-312,Bangalore,Evening,one,Late_Night,Chennai,Economy,7.42,15,9798
Air_India,AI-840,Hyderabad,Night,one,Morning,Kolkata,Economy,12.17,28,4789
GO_FIRST,G8-103,Delhi,Evening,one,Morning,Hyderabad,Economy,15.25,9,13935
Vistara,UK-874,Hyderabad,Morning,one,Evening,Kolkata,Business,9.58,40,67141
Indigo,6E-6021,Kolkata,Afternoon,one,Night,Bangalore,Economy,6.83,15,6489
Vistara,UK-899,Delhi,Afternoon,zero,Evening,Hyderabad,Economy,2.25,48,2150
Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Business,22.17,12,55347
Vistara,UK-849,Mumbai,Evening,one,Night,Delhi,Business,6.25,19,53152
Air_India,AI-539,Chennai,Evening,one,Night,Hyderabad,Economy,6.58,31,4714
Air_India,AI-808,Bangalore,Night,one,Evening,Mumbai,Economy,23.0,5,9277
Vistara,UK-845,Mumbai,Early_Morning,zero,Early_Morning,Bangalore,Business,1.83,22,20684
Air_India,AI-766,Chennai,Early_Morning,one,Afternoon,Delhi,Business,5.92,18,47585
Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,9.5,19,8233
Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.42,12,15382
Indigo,6E-2147,Delhi,Night,one,Early_Morning,Chennai,Economy,8.67,22,3349
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,Business,14.58,14,50271
Vistara,UK-832,Chennai,Early_Morning,one,Night,Bangalore,Business,16.42,35,60260
Air_India,AI-619,Mumbai,Night,zero,Night,Hyderabad,Economy,1.33,9,4263
Vistara,UK-940,Mumbai,Evening,one,Morning,Hyderabad,Business,13.67,44,60365
Vistara,UK-954,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.67,29,6450
Vistara,UK-774,Kolkata,Night,one,Morning,Chennai,Economy,15.25,9,14620
Air_India,AI-768,Kolkata,Afternoon,one,Night,Mumbai,Business,6.67,28,50271
Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,22.92,25,6067
Air_India,AI-420,Hyderabad,Afternoon,one,Night,Chennai,Business,31.58,45,51595
GO_FIRST,G8-424,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,9.08,13,4452
Indigo,6E-2348,Delhi,Evening,one,Late_Night,Chennai,Economy,4.92,10,8596
Indigo,6E-2338,Delhi,Afternoon,one,Evening,Hyderabad,Economy,6.92,30,2098
Air_India,AI-770,Kolkata,Night,one,Night,Chennai,Business,27.08,46,55983
Air_India,AI-543,Hyderabad,Morning,one,Evening,Chennai,Economy,7.67,44,4229
AirAsia,I5-1518,Hyderabad,Evening,one,Late_Night,Kolkata,Economy,5.83,4,5291
Vistara,UK-706,Kolkata,Morning,one,Evening,Mumbai,Economy,8.08,40,8579
Vistara,UK-910,Mumbai,Evening,zero,Evening,Delhi,Economy,2.17,19,3024
Vistara,UK-834,Chennai,Evening,one,Morning,Bangalore,Business,18.67,10,60260
GO_FIRST,G8-2511,Delhi,Morning,one,Evening,Bangalore,Economy,5.42,34,6919
Vistara,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,18.42,30,64890
GO_FIRST,G8-7534,Delhi,Afternoon,one,Night,Chennai,Economy,6.83,29,4896
GO_FIRST,G8-792,Kolkata,Evening,one,Night,Mumbai,Economy,7.17,36,5507
Vistara,UK-838,Chennai,Night,one,Evening,Mumbai,Economy,22.0,32,5037
Vistara,UK-834,Chennai,Evening,one,Afternoon,Hyderabad,Business,19.42,5,80544
Air_India,AI-765,Kolkata,Night,one,Morning,Delhi,Business,12.08,13,48079
Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,Business,17.5,3,53186
Air_India,AI-765,Kolkata,Evening,one,Morning,Mumbai,Business,13.17,26,43711
Vistara,UK-859,Delhi,Morning,one,Evening,Bangalore,Economy,9.08,10,9945
Vistara,UK-706,Kolkata,Morning,one,Evening,Mumbai,Business,8.08,41,72201
Air_India,AI-639,Mumbai,Morning,one,Afternoon,Delhi,Business,6.42,15,53152
Vistara,UK-820,Bangalore,Evening,one,Night,Mumbai,Business,6.0,24,84896
Indigo,6E-6212,Bangalore,Morning,one,Evening,Hyderabad,Economy,8.58,28,3105
Indigo,6E-2513,Delhi,Morning,zero,Morning,Kolkata,Economy,2.17,35,3999
Vistara,UK-820,Bangalore,Evening,one,Early_Morning,Mumbai,Business,14.08,6,67004
Air_India,AI-839,Delhi,Night,zero,Night,Hyderabad,Economy,2.17,18,2518
Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25,14,13830
Indigo,6E-2753,Delhi,Evening,one,Night,Bangalore,Economy,6.5,42,3302
Air_India,AI-864,Mumbai,Early_Morning,one,Early_Morning,Chennai,Economy,25.0,35,5380
AirAsia,I5-740,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.58,25,2409
Air_India,AI-768,Kolkata,Afternoon,one,Morning,Chennai,Economy,17.42,12,13524
Air_India,AI-624,Delhi,Evening,one,Morning,Bangalore,Economy,16.17,35,4230
Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Mumbai,Business,8.0,39,67004
Indigo,6E-345,Kolkata,Morning,one,Afternoon,Chennai,Economy,6.67,13,6977
Indigo,6E-2247,Delhi,Morning,one,Evening,Bangalore,Economy,7.5,15,3671
Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,9.0,32,6262
Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Economy,23.67,30,4357
Air_India,AI-774,Mumbai,Night,one,Late_Night,Bangalore,Economy,28.92,27,6645
Vistara,UK-810,Bangalore,Early_Morning,one,Evening,Hyderabad,Business,10.0,14,56588
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Business,5.42,33,44025
Air_India,AI-672,Chennai,Afternoon,one,Night,Delhi,Business,8.83,22,45185
Vistara,UK-953,Delhi,Night,one,Afternoon,Hyderabad,Economy,15.58,26,5549
Vistara,UK-870,Hyderabad,Night,one,Night,Kolkata,Economy,26.17,8,11319
Air_India,AI-888,Mumbai,Evening,one,Evening,Bangalore,Business,21.25,23,54608
Indigo,6E-539,Chennai,Morning,one,Evening,Kolkata,Economy,8.08,17,5042
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Economy,16.5,12,11497
Indigo,6E-512,Kolkata,Afternoon,one,Evening,Hyderabad,Economy,6.83,45,4367
Indigo,6E-5382,Mumbai,Evening,one,Night,Delhi,Economy,4.25,4,5939
GO_FIRST,G8-300,Delhi,Morning,one,Evening,Mumbai,Economy,9.67,10,19501
Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,Business,14.33,48,55087
Indigo,6E-7623,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,8.25,8,9907
Vistara,UK-776,Kolkata,Evening,zero,Night,Mumbai,Economy,2.75,34,4499
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Business,26.42,22,41281
Vistara,UK-836,Chennai,Morning,one,Night,Mumbai,Economy,11.25,24,5582
Vistara,UK-902,Mumbai,Afternoon,one,Morning,Chennai,Economy,18.17,13,11129
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Business,6.83,34,51707
Indigo,6E-638,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,10.75,36,4118
Vistara,UK-950,Mumbai,Night,one,Evening,Hyderabad,Business,22.0,9,58125
Air_India,AI-774,Mumbai,Night,one,Evening,Delhi,Business,21.08,6,59021
Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33,39,2410
Air_India,AI-459,Delhi,Early_Morning,one,Morning,Bangalore,Economy,5.67,6,9988
Indigo,6E-6216,Hyderabad,Night,zero,Night,Chennai,Economy,1.25,34,1788
Vistara,UK-826,Chennai,Afternoon,one,Late_Night,Delhi,Business,11.67,11,73376
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Bangalore,Economy,13.92,15,11307
Vistara,UK-772,Kolkata,Morning,one,Night,Delhi,Business,13.33,30,92193
Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Economy,20.42,40,5206
Indigo,6E-7177,Kolkata,Morning,one,Night,Bangalore,Economy,9.17,10,7954
Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,Business,16.0,40,57081
GO_FIRST,G8-509,Hyderabad,Early_Morning,one,Morning,Mumbai,Economy,4.58,27,3423
Vistara,UK-950,Mumbai,Night,one,Evening,Chennai,Economy,18.42,39,4348
Indigo,6E-345,Kolkata,Morning,zero,Afternoon,Bangalore,Economy,2.83,43,3862
Indigo,6E-6488,Kolkata,Morning,one,Night,Hyderabad,Economy,8.67,38,8747
Vistara,UK-899,Delhi,Afternoon,one,Morning,Bangalore,Economy,18.08,45,3987
Air_India,AI-424,Kolkata,Afternoon,one,Morning,Mumbai,Economy,19.58,11,15624
Air_India,AI-768,Kolkata,Afternoon,one,Night,Chennai,Business,8.08,40,55983
Vistara,UK-778,Kolkata,Afternoon,zero,Evening,Delhi,Business,2.42,4,29406
Air_India,AI-402,Kolkata,Morning,one,Evening,Mumbai,Business,9.58,20,50271
