airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class_,duration,days_left,price
3,370,4,0,2,2,5,1,3.0,43,4499
5,1067,5,2,1,4,0,1,17.0,2,22731
3,410,2,1,0,0,1,1,8.58,20,4316
5,1081,1,5,0,5,5,1,24.5,13,15447
5,1107,3,4,0,2,2,1,9.58,25,5892
3,148,0,0,0,2,4,1,4.5,33,4477
1,517,2,4,2,4,3,0,2.17,7,23944
1,640,3,2,0,4,0,1,17.5,28,5126
1,598,2,1,2,4,0,0,2.75,6,32859
0,907,5,0,0,5,4,1,8.0,8,7411
5,1037,2,0,0,5,5,0,7.58,18,59033
1,474,2,4,0,4,4,0,25.0,9,59641
5,1118,3,1,1,2,4,1,11.92,36,9433
5,1147,5,4,0,2,3,0,9.5,15,58125
0,861,4,2,2,5,2,1,2.67,20,3999
2,655,0,5,0,4,3,1,11.58,15,4337
0,819,0,0,2,0,3,1,1.17,2,5335
2,785,2,2,0,1,1,1,14.67,11,7426
1,550,0,1,0,5,2,1,14.5,40,4294
5,1092,0,2,0,2,1,1,25.5,39,4672
1,573,3,5,0,0,2,0,14.0,2,44640
5,1069,5,4,2,4,1,1,2.08,24,6678
3,91,2,5,0,1,1,1,6.5,28,2931
3,450,5,0,0,5,4,1,7.5,49,3980
1,488,2,2,0,0,0,0,19.67,29,39783
3,309,0,1,2,1,3,1,1.17,49,1714
5,1026,0,4,0,5,5,1,10.08,37,7315
1,624,0,4,0,5,2,1,14.58,44,5568
1,497,2,0,0,4,5,1,19.08,24,6601
5,1135,2,2,0,5,1,0,5.33,29,60232
5,1149,5,2,0,0,3,1,18.08,6,10593
1,544,5,2,1,5,3,1,28.25,42,5857
3,29,2,4,2,4,3,1,2.25,7,5955
3,337,0,0,0,5,4,1,9.58,4,10638
5,1129,5,0,0,4,4,0,18.92,32,62045
3,81,2,0,0,2,3,1,6.92,8,9735
3,422,1,2,0,5,4,1,7.25,25,4541
1,603,0,5,0,4,3,0,13.5,3,57596
1,481,5,0,0,4,4,0,17.58,48,49725
5,1105,2,5,0,4,0,1,12.25,43,3357
3,259,0,2,0,5,3,1,4.08,31,1694
5,1077,1,2,0,4,0,0,15.5,26,60260
1,500,0,4,0,2,4,0,8.75,21,60508
5,1030,2,1,2,4,4,1,2.08,47,4000
1,529,5,1,1,5,0,1,18.92,48,9271
5,1132,2,0,0,5,3,1,6.58,43,5772
2,748,2,4,0,2,0,1,4.58,47,6315
5,1066,1,4,0,2,4,1,33.83,10,21317
5,1031,4,4,0,5,1,0,10.0,4,55983
5,1143,2,2,2,5,5,1,2.17,41,2700
1,604,5,4,0,5,0,0,10.08,41,54608
5,1134,5,1,0,2,3,0,13.92,42,45805
5,1048,4,0,0,5,5,0,30.25,38,59254
3,250,1,2,0,5,3,1,4.42,6,4969
5,1116,3,2,0,4,5,1,16.92,12,9178
5,1123,5,1,0,5,1,0,13.75,11,57453
5,1081,1,5,0,2,5,0,20.58,28,61873
5,1129,5,0,0,4,0,1,18.0,23,6450
1,498,0,2,0,2,5,0,24.17,7,54684
5,1079,1,4,0,5,3,1,10.17,28,7709
1,479,1,1,0,5,5,0,16.0,6,49553
1,603,0,5,0,4,3,1,13.5,23,6200
5,1121,5,2,0,5,4,0,5.17,33,75597
5,1130,2,4,0,2,0,0,6.08,34,49177
3,20,5,4,0,0,0,1,4.5,8,15761
3,450,5,0,2,2,2,1,2.25,48,2738
5,1033,4,5,0,4,0,0,14.42,44,71058
5,1097,3,1,2,4,2,0,2.17,18,24234
5,1137,5,4,0,2,4,1,6.17,24,6159
5,1123,5,1,0,5,3,0,16.42,9,53645
3,131,5,0,0,2,0,1,5.75,25,4056
3,274,5,4,2,4,0,1,1.67,40,2124
1,626,3,5,0,5,2,1,27.17,4,11488
1,564,5,1,2,4,4,1,2.67,47,2835
5,1077,1,2,0,5,5,1,5.67,30,4830
0,847,4,4,0,3,2,1,15.67,40,3014
5,1097,3,1,0,5,5,1,17.0,23,4646
3,161,0,1,0,2,2,1,11.0,2,14838
1,498,0,2,0,5,5,1,28.33,1,9277
1,560,5,4,0,2,2,0,28.25,30,39847
3,261,1,0,0,5,3,1,8.42,38,2651
5,1144,5,5,0,2,3,0,18.25,15,45805
5,1128,2,1,0,2,0,1,11.75,32,5106
5,1090,5,0,1,5,1,1,8.08,24,8740
5,1095,0,1,0,2,4,0,13.25,27,51817
1,576,4,0,0,2,5,0,4.83,42,31982
5,1035,2,0,0,2,0,1,28.17,20,11835
0,864,4,1,0,5,0,1,14.08,23,3862
5,1114,3,2,0,4,0,1,17.17,49,6461
5,1092,0,2,0,4,2,0,15.25,36,65033
5,1030,2,1,1,2,1,1,12.42,8,20145
5,1149,5,2,0,4,1,0,15.42,12,64173
2,699,5,4,0,5,2,1,9.67,19,5942
1,555,5,2,0,2,2,1,24.75,43,6300
1,599,0,1,0,5,3,1,14.42,13,13894
1,603,0,5,0,4,5,0,13.17,23,54684
3,74,3,0,0,5,4,1,7.0,38,6251
5,1084,5,1,0,5,3,1,14.92,29,3334
1,514,1,2,0,4,5,1,18.25,28,4672
5,1079,1,4,1,2,0,1,8.5,38,7167
5,1061,2,2,0,5,5,0,5.75,5,53164
5,1104,3,5,0,2,5,0,21.08,12,58315
0,835,5,5,0,3,2,1,6.25,46,2336
2,713,0,2,0,3,2,1,6.0,11,7487
4,1012,2,1,0,1,1,1,24.67,33,4942
3,193,0,2,0,3,2,1,8.83,33,4391
1,612,5,5,0,5,4,1,22.58,4,12637
5,1092,0,2,0,4,4,1,15.25,17,6534
5,1107,3,4,0,0,2,1,6.0,46,5892
1,560,5,4,0,3,0,1,36.17,9,16446
1,518,3,4,0,2,5,0,8.67,26,45883
2,721,5,4,0,5,3,1,11.83,15,10039
3,345,1,0,2,2,2,1,2.75,21,3191
2,813,3,1,0,2,5,1,13.83,46,11007
5,1130,2,4,0,2,0,0,7.58,24,49177
3,20,5,4,0,2,3,1,7.58,17,16076
4,983,0,2,0,0,2,1,17.58,46,4029
5,1075,1,1,0,2,5,0,9.58,17,57505
3,460,3,4,0,0,2,1,5.42,16,6133
5,1072,1,1,0,1,3,0,24.83,38,41064
5,1075,1,1,0,5,5,1,14.75,49,8233
5,1107,3,4,0,0,2,0,5.58,42,51875
1,510,4,2,0,1,1,1,12.33,36,5681
5,1110,5,4,2,0,3,1,1.5,33,3450
5,1034,4,1,0,0,5,0,6.83,27,56991
1,553,5,1,0,1,2,1,24.67,23,6922
2,710,0,2,0,3,1,1,7.42,15,9798
1,608,3,5,0,4,4,1,12.17,28,4789
2,650,2,2,0,4,3,1,15.25,9,13935
5,1107,3,4,0,2,4,0,9.58,40,67141
3,260,4,0,0,5,0,1,6.83,15,6489
5,1119,2,0,2,2,3,1,2.25,48,2150
5,1109,3,5,0,2,2,0,22.17,12,55347
5,1087,5,2,0,5,2,0,6.25,19,53152
1,514,1,2,0,5,3,1,6.58,31,4714
1,603,0,5,0,2,5,1,23.0,5,9277
5,1084,5,1,2,1,0,0,1.83,22,20684
1,586,1,1,0,0,2,0,5.92,18,47585
5,1079,1,4,0,5,5,1,9.5,19,8233
5,1118,3,1,1,2,4,1,10.42,12,15382
3,59,2,5,0,1,1,1,8.67,22,3349
1,583,4,1,0,5,5,0,14.58,14,50271
5,1075,1,1,0,5,0,0,16.42,35,60260
1,537,5,5,2,5,3,1,1.33,9,4263
5,1126,5,2,0,4,3,0,13.67,44,60365
5,1134,5,1,0,5,0,1,16.67,29,6450
5,1045,4,5,0,4,1,1,15.25,9,14620
1,588,4,0,0,5,5,0,6.67,28,50271
5,1038,4,2,0,2,5,1,22.92,25,6067
1,471,3,0,0,5,1,0,31.58,45,51595
2,751,3,1,0,0,5,1,9.08,13,4452
3,84,2,2,0,3,1,1,4.92,10,8596
3,81,2,0,0,2,3,1,6.92,30,2098
1,589,4,5,0,5,1,0,27.08,46,55983
1,518,3,4,0,2,1,1,7.67,44,4229
0,823,3,2,0,3,4,1,5.83,4,5291
5,1031,4,4,0,2,5,1,8.08,40,8579
5,1121,5,2,2,2,2,1,2.17,19,3024
5,1077,1,2,0,4,0,0,18.67,10,60260
2,688,2,4,0,2,0,1,5.42,34,6919
5,1104,3,5,0,0,5,0,18.42,30,64890
2,784,2,0,0,5,1,1,6.83,29,4896
2,807,4,2,0,5,5,1,7.17,36,5507
5,1081,1,5,0,2,5,1,22.0,32,5037
5,1077,1,2,0,0,3,0,19.42,5,80544
1,585,4,5,0,4,2,0,12.08,13,48079
1,618,5,2,0,0,4,0,17.5,3,53186
1,585,4,2,0,4,5,0,13.17,26,43711
5,1096,2,4,0,2,0,1,9.08,10,9945
5,1031,4,4,0,2,5,0,8.08,41,72201
1,549,5,4,0,0,2,0,6.42,15,53152
5,1064,0,2,0,5,5,0,6.0,24,84896
3,297,0,4,0,2,3,1,8.58,28,3105
3,96,2,4,2,4,4,1,2.17,35,3999
5,1064,0,2,0,1,5,0,14.08,6,67004
1,607,2,5,2,5,3,1,2.17,18,2518
1,463,2,1,0,5,5,1,13.25,14,13830
3,109,2,2,0,5,0,1,6.5,42,3302
1,610,5,1,0,1,1,1,25.0,35,5380
0,880,2,1,0,5,5,1,12.58,25,2409
1,588,4,0,0,4,1,1,17.42,12,13524
1,540,2,2,0,4,0,1,16.17,35,4230
5,1054,0,1,0,0,5,0,8.0,39,67004
3,130,4,4,0,0,1,1,6.67,13,6977
3,73,2,4,0,2,0,1,7.5,15,3671
5,1052,0,1,0,2,3,1,9.0,32,6262
1,513,1,5,0,2,5,1,23.67,30,4357
1,592,5,5,0,3,0,1,28.92,27,6645
5,1054,0,1,0,2,3,0,10.0,14,56588
1,466,2,4,0,0,5,0,5.42,33,44025
1,562,1,0,0,5,2,0,8.83,22,45185
5,1133,2,5,0,0,3,1,15.58,26,5549
5,1104,3,5,0,5,4,1,26.17,8,11319
1,618,5,2,0,2,0,0,21.25,23,54608
3,229,1,4,0,2,4,1,8.08,17,5042
5,1097,3,1,0,5,0,1,16.5,12,11497
3,178,4,0,0,2,3,1,6.83,45,4367
3,225,5,2,0,5,2,1,4.25,4,5939
2,704,2,4,0,2,5,1,9.67,10,19501
1,591,4,2,0,1,1,0,14.33,48,55087
3,408,4,1,0,0,2,1,8.25,8,9907
5,1047,4,2,2,5,5,1,2.75,34,4499
5,1105,2,5,0,5,5,0,26.42,22,41281
5,1079,1,4,0,5,5,1,11.25,24,5582
5,1120,5,0,0,4,1,1,18.17,13,11129
5,1113,3,0,0,5,1,0,6.83,34,51707
3,329,0,2,0,1,4,1,10.75,36,4118
5,1131,5,5,0,2,3,0,22.0,9,58125
1,592,5,5,0,2,2,0,21.08,6,59021
3,170,2,0,0,5,5,1,10.33,39,2410
1,484,2,1,0,4,0,1,5.67,6,9988
3,300,3,5,2,5,1,1,1.25,34,1788
5,1070,1,0,0,3,2,0,11.67,11,73376
5,1123,5,1,0,5,0,1,13.92,15,11307
5,1043,4,4,0,5,2,0,13.33,30,92193
5,1068,1,5,0,2,2,1,20.42,40,5206
3,381,4,4,0,5,0,1,9.17,10,7954
5,1100,0,2,0,4,2,0,16.0,40,57081
2,759,3,1,0,4,5,1,4.58,27,3423
5,1131,5,5,0,2,1,1,18.42,39,4348
3,130,4,4,2,0,0,1,2.83,43,3862
3,336,4,4,0,5,3,1,8.67,38,8747
5,1119,2,0,0,4,0,1,18.08,45,3987
1,473,4,0,0,4,5,1,19.58,11,15624
1,588,4,0,0,5,1,0,8.08,40,55983
5,1048,4,0,2,2,2,0,2.42,4,29406
1,464,4,4,0,2,5,0,9.58,20,50271
1,586,1,4,0,3,0,1,14.5,12,10608
5,1050,0,2,0,4,3,1,14.83,41,6133
5,1085,0,4,0,0,2,0,5.58,32,54841
2,765,3,5,0,1,5,1,10.58,31,3423
5,1116,3,2,0,0,2,1,19.67,43,5823
3,452,3,5,0,1,4,1,6.33,40,2057
5,1128,2,1,0,2,4,1,12.42,26,7221
5,1045,4,5,0,0,3,1,15.67,37,7572
5,1022,2,2,0,2,0,1,25.08,48,5496
1,513,1,5,0,4,5,0,13.83,15,49553
5,1048,4,0,0,5,5,1,5.92,23,7971
1,480,2,2,0,5,5,0,3.75,24,22152
1,642,1,4,0,0,0,1,6.42,23,5726
5,1134,5,1,0,2,0,0,11.0,21,54608
5,1024,5,1,1,5,0,1,14.42,11,14791
5,1081,1,5,0,2,3,1,19.92,2,18378
1,479,1,1,0,0,5,0,6.67,15,49553
1,571,5,0,0,4,3,1,18.5,25,4173
5,1070,1,0,0,5,2,1,10.5,40,4971
5,1070,1,0,0,5,2,1,8.17,6,11448
1,513,1,5,2,5,2,1,2.83,42,2271
0,848,4,5,0,4,3,1,11.17,16,4589
3,431,0,4,0,2,5,1,7.25,35,4819
4,1008,5,4,2,0,2,1,2.42,5,5943
1,475,1,4,0,2,4,0,9.25,46,55377
5,1092,0,2,0,4,2,0,16.58,6,57081
5,1074,3,4,0,2,4,0,7.75,37,51819
5,1081,1,5,0,4,0,1,11.58,40,6437
1,479,1,1,0,2,5,1,35.25,15,13926
5,1111,3,0,0,3,2,0,11.25,10,51875
3,277,1,0,0,5,5,1,7.08,40,1830
0,909,3,5,0,4,4,1,10.75,49,2056
3,257,5,1,2,4,4,1,2.58,35,4499
1,607,2,5,0,4,4,1,10.67,25,4030
1,557,5,2,0,4,1,0,14.92,18,49613
5,1076,2,1,2,4,1,1,2.75,38,2049
5,1124,5,1,0,2,1,1,8.83,37,5033
1,464,4,4,0,5,1,0,13.17,26,55983
0,910,4,2,2,2,0,1,2.83,14,6490
3,220,3,2,2,2,5,1,1.5,34,3096
5,1133,2,5,0,2,4,1,23.25,18,6840
5,1045,4,5,0,5,0,1,26.25,13,10961
5,1090,0,4,0,0,2,1,5.0,32,4111
1,591,4,2,2,5,5,0,2.83,14,31982
2,743,2,0,0,5,1,1,7.33,23,4896
3,414,1,2,0,5,3,1,6.58,17,4202
5,1106,5,1,0,4,0,1,26.5,28,4658
5,1056,0,4,0,5,5,0,14.08,37,67004
5,1024,5,1,0,2,4,1,13.58,27,12435
5,1068,1,5,0,2,0,1,21.25,49,4755
5,1118,3,1,0,5,2,1,13.92,23,5823
5,1141,2,2,0,2,1,0,24.92,28,60232
5,1107,3,4,0,4,0,0,24.33,13,38099
1,465,2,0,0,2,5,1,6.33,16,6754
5,1126,5,2,0,4,4,0,13.83,26,64285
3,314,0,1,0,0,3,1,6.17,48,1694
3,72,4,5,2,5,2,1,2.5,10,6489
3,59,2,5,2,5,3,1,2.25,18,2516
5,1050,0,2,0,0,3,0,17.75,4,56588
5,1067,5,2,2,2,1,1,2.08,31,2900
3,261,1,0,0,5,5,1,10.17,9,8980
1,513,1,5,2,5,2,0,2.83,13,27792
1,594,0,1,0,2,1,0,11.33,47,44682
1,580,4,5,0,2,3,1,19.75,38,5589
2,745,0,4,0,0,2,1,6.33,30,4028
5,1052,0,1,0,5,3,0,14.92,9,56588
4,1005,2,2,0,2,1,1,22.92,8,14355
5,1054,0,1,0,2,5,1,12.08,19,6568
4,975,0,4,0,5,4,1,10.83,29,4814
0,912,0,2,0,1,5,1,11.17,17,2203
5,1142,2,5,0,4,1,0,14.0,12,65944
2,656,2,2,0,4,3,1,13.83,19,5657
1,625,0,2,0,4,4,1,13.25,41,3489
5,1121,5,2,0,5,3,1,5.33,4,9879
1,563,5,1,0,2,2,1,10.08,22,7413
3,270,4,2,0,3,2,1,7.0,47,4439
5,1033,4,5,0,0,3,1,16.17,36,5632
5,1056,0,4,0,5,5,1,12.25,15,11919
1,475,1,4,2,0,2,0,3.08,23,27792
1,618,5,2,0,0,1,0,17.67,10,49613
1,610,5,1,0,5,4,1,15.33,43,4556
3,8,5,1,0,4,0,1,5.5,43,2124
5,1048,4,0,0,4,3,0,18.33,24,52175
5,1118,3,1,0,5,2,1,14.75,22,5823
3,44,1,2,2,2,2,1,2.58,12,7352
5,1144,5,5,0,0,3,0,13.83,9,45805
2,724,2,4,2,0,5,1,2.25,45,2410
0,883,2,2,0,3,5,1,6.0,46,3102
5,1033,4,5,0,4,0,1,15.42,30,8426
5,1096,2,4,1,4,4,1,23.25,45,9349
1,557,5,2,0,5,0,0,26.08,24,54608
1,583,4,1,0,2,5,1,33.42,37,8478
5,1090,0,4,0,5,2,1,11.17,27,4111
5,1075,1,1,0,5,0,0,15.75,14,60260
5,1037,2,0,0,0,5,1,21.08,31,7575
5,1088,0,2,0,5,3,0,25.0,41,37985
2,727,5,5,0,1,4,1,9.33,42,5817
1,496,0,0,0,5,5,1,8.83,44,6578
3,187,5,1,2,1,3,1,1.33,39,2901
1,475,1,4,1,5,4,1,34.17,8,13564
5,1031,4,4,0,5,0,0,10.17,8,71058
1,512,2,2,0,2,5,0,24.83,23,50969
5,1066,1,4,0,2,2,1,30.75,42,7338
1,563,5,1,0,5,2,0,15.08,15,59021
1,571,5,0,0,4,1,1,16.92,11,9201
0,855,0,1,0,2,2,1,12.0,36,2723
3,138,4,1,0,2,5,1,9.5,28,7959
1,537,5,5,0,1,1,1,11.75,24,3318
5,1114,3,2,0,2,4,0,25.92,6,53499
4,953,1,4,0,4,4,1,24.17,31,4281
3,417,5,1,0,0,4,1,6.25,48,8560
5,1149,5,2,0,4,0,0,16.33,27,77120
1,510,4,2,0,5,2,1,28.0,38,5404
0,852,5,5,0,3,2,1,7.42,45,2336
1,540,2,2,2,5,5,0,2.25,35,22152
1,516,3,2,0,4,0,1,16.67,46,5894
5,1033,4,5,0,2,5,1,20.08,5,11139
5,1019,5,0,1,5,1,1,10.5,2,15854
5,1043,4,4,0,3,2,0,14.5,41,53743
5,1142,2,5,0,1,0,0,10.17,39,62729
1,547,2,0,0,2,0,1,28.0,38,4230
5,1075,1,1,0,5,5,1,13.0,49,5037
5,1147,5,4,0,2,0,0,8.42,8,74365
5,1137,5,4,0,2,0,1,6.92,35,6450
5,1031,4,4,0,5,5,0,12.58,11,50271
3,284,3,4,0,2,4,1,7.25,18,5293
5,1033,4,5,0,2,0,1,20.58,24,8111
5,1048,4,0,0,0,3,0,21.25,22,63935
5,1123,5,1,0,2,3,0,13.42,38,53645
5,1129,5,0,0,5,4,1,8.08,33,5949
3,89,3,2,2,2,2,1,2.08,36,3191
5,1074,3,4,0,5,5,1,12.5,35,4751
5,1054,0,1,0,4,1,1,26.92,47,6161
1,583,4,1,0,2,3,1,12.33,40,4724
5,1137,5,4,0,5,3,1,11.0,35,4414
1,512,2,2,0,0,4,0,21.67,6,47545
3,65,0,2,2,5,2,1,2.92,31,4500
5,1109,3,5,0,5,1,0,25.5,16,41314
5,1097,3,1,0,5,5,0,16.0,40,45995
5,1089,5,1,1,2,1,0,9.33,29,80626
1,610,5,1,0,2,3,0,12.33,39,45693
1,573,3,5,0,4,2,0,12.5,14,39499
3,88,4,1,0,4,3,1,6.67,38,6725
5,1125,2,0,2,2,5,1,2.17,33,2700
1,516,3,2,0,5,1,0,7.33,10,51595
5,1066,1,4,0,5,0,1,11.17,2,20636
3,280,1,2,2,5,2,1,2.75,41,3191
5,1100,0,2,0,4,2,1,13.08,36,4111
1,618,5,2,0,5,0,0,25.08,5,54608
1,475,1,4,1,4,4,1,23.08,8,12918
1,550,0,1,0,4,4,1,26.08,42,5007
5,1080,2,2,2,5,1,0,2.83,18,27864
1,549,5,4,0,5,2,1,14.42,18,5749
1,514,1,2,0,4,4,0,16.0,20,55377
5,1129,5,0,0,4,1,0,19.25,19,61933
2,737,5,0,2,2,0,1,1.58,15,5102
1,540,2,2,0,4,0,1,16.17,12,10680
5,1104,3,5,0,5,1,1,23.67,5,11319
3,431,0,4,0,2,2,1,8.83,30,4913
1,500,0,4,0,5,4,0,11.92,48,60508
5,1090,0,4,0,2,4,1,10.42,46,6271
1,491,2,2,0,2,5,0,23.92,4,37900
0,869,4,0,2,2,0,1,2.75,18,3862
5,1031,4,4,1,4,1,1,25.58,6,22763
2,733,5,2,0,4,4,1,13.25,45,5310
3,131,5,0,1,2,4,1,7.08,9,9849
1,584,2,2,0,2,1,1,24.17,48,6100
5,1139,5,4,0,2,4,0,10.83,45,64285
5,1140,2,1,0,2,4,1,10.92,47,6598
1,518,3,4,0,5,5,1,10.25,33,4363
5,1070,1,0,0,5,3,0,8.42,11,41064
1,559,2,1,0,2,0,0,10.5,31,42457
5,1073,2,1,1,2,1,1,12.42,29,11205
5,1047,4,2,0,5,0,0,27.33,4,57999
3,295,2,0,0,2,1,1,4.75,26,3266
5,1109,3,5,0,2,2,0,19.33,7,59827
5,1120,5,0,0,5,3,1,7.17,39,3971
3,48,5,0,0,5,4,1,8.25,12,11346
2,797,3,0,0,5,4,1,6.25,31,5754
0,847,4,4,0,5,5,1,10.92,23,3987
5,1031,4,4,0,4,5,1,25.25,38,13910
3,434,0,4,0,5,4,1,10.17,28,5178
2,791,5,0,1,5,2,1,7.83,16,5942
1,629,5,2,0,0,3,1,19.67,44,3759
5,1050,0,2,0,2,4,0,23.25,8,70588
1,500,0,4,0,5,1,1,13.17,43,6024
2,649,4,0,0,1,5,1,13.92,21,5888
5,1074,3,4,0,4,4,0,22.25,46,69739
5,1127,2,2,0,1,3,1,15.08,24,6172
5,1047,4,2,0,4,2,0,17.42,47,68303
5,1031,4,4,0,5,5,1,11.58,13,16578
1,526,1,1,0,0,2,0,5.92,5,45185
1,611,2,4,0,5,4,1,13.0,16,6120
5,1079,1,4,0,2,0,0,8.08,3,98839
5,1073,2,1,2,4,3,1,2.17,12,5955
5,1081,1,5,0,2,3,0,19.92,28,51457
1,484,2,1,0,4,0,1,5.67,32,6177
5,1043,4,4,0,5,2,0,10.25,41,84879
1,502,3,4,0,2,0,1,8.42,38,6330
2,723,2,0,2,2,5,1,2.25,6,6532
5,1125,2,0,2,2,5,0,2.17,29,34472
0,910,4,2,0,4,2,1,16.67,4,26360
3,106,1,4,0,2,4,1,9.33,21,7326
3,118,4,2,2,2,0,1,2.58,49,3862
3,178,4,0,0,2,3,1,4.5,11,9377
5,1043,4,4,0,5,0,1,12.42,8,12166
5,1104,3,5,0,2,5,0,22.5,33,60410
1,514,1,2,0,3,0,1,7.17,29,7043
4,986,4,0,0,4,0,1,17.75,12,6488
3,138,4,1,0,0,2,1,6.33,19,6489
2,767,4,2,0,1,0,1,14.25,45,6109
1,600,2,2,0,5,3,0,25.58,26,39321
0,841,0,1,0,4,4,1,6.83,39,3845
2,792,5,2,2,2,0,1,1.67,29,2124
5,1043,4,4,0,4,2,1,22.58,39,9353
1,479,1,1,0,2,3,0,13.17,8,51345
5,1133,2,5,2,5,5,1,2.17,36,2476
4,996,5,2,0,5,4,1,27.58,23,5289
5,1043,4,4,0,2,0,0,7.33,41,52287
5,1134,5,1,0,5,0,1,16.67,46,6450
5,1111,3,0,0,4,2,0,19.67,6,47395
1,627,0,2,0,5,3,1,26.58,42,5694
5,1079,1,4,0,5,0,1,9.67,3,23838
5,1095,0,1,0,5,2,0,15.25,22,57081
5,1123,5,1,0,2,0,0,10.5,5,62448
5,1043,4,4,0,5,2,1,11.5,34,6461
0,876,2,1,0,2,0,1,12.0,45,3090
1,562,1,2,0,5,2,1,31.83,37,8492
3,394,1,4,0,0,5,1,5.5,24,5882
5,1031,4,4,0,2,1,1,9.67,38,8799
5,1072,1,1,0,2,0,1,12.25,48,4755
5,1044,5,2,2,2,4,0,2.58,33,31436
5,1113,3,0,0,5,0,1,9.92,8,11319
1,513,1,5,0,2,5,1,21.67,18,4357
2,742,5,0,0,5,0,1,9.58,49,6319
1,607,2,5,0,5,5,0,26.5,2,44450
5,1110,5,4,0,0,2,0,25.92,35,41269
1,479,1,1,0,4,5,1,26.92,9,9141
5,1111,3,0,0,4,0,1,19.92,35,5441
3,444,1,0,0,2,5,1,5.92,33,1830
4,921,2,2,2,5,0,1,2.75,31,4500
1,601,5,1,0,2,0,1,8.25,9,11627
5,1045,4,5,0,4,2,1,11.5,6,13524
2,730,5,4,0,0,2,1,7.0,28,5569
